Type                 Name                                          Param               Output
----------------------------------------------------------------------------------------------
Data                 data                                             --     (1, 3, 224, 224)
Convolution          conv1_1                               (64, 3, 3, 3)    (1, 64, 224, 224)
Convolution          conv1_2                              (64, 64, 3, 3)    (1, 64, 224, 224)
Pooling              pool1                                            --    (1, 64, 112, 112)
Convolution          conv2_1                             (128, 64, 3, 3)   (1, 128, 112, 112)
Convolution          conv2_2                            (128, 128, 3, 3)   (1, 128, 112, 112)
Pooling              pool2                                            --     (1, 128, 56, 56)
Convolution          conv3_1                            (256, 128, 3, 3)     (1, 256, 56, 56)
Convolution          conv3_2                            (256, 256, 3, 3)     (1, 256, 56, 56)
Convolution          conv3_3                            (256, 256, 3, 3)     (1, 256, 56, 56)
Pooling              pool3                                            --     (1, 256, 28, 28)
Convolution          conv4_1                            (512, 256, 3, 3)     (1, 512, 28, 28)
Convolution          conv4_2                            (512, 512, 3, 3)     (1, 512, 28, 28)
Convolution          conv4_3                            (512, 512, 3, 3)     (1, 512, 28, 28)
Pooling              pool4                                            --     (1, 512, 14, 14)
Convolution          conv5_1                            (512, 512, 3, 3)     (1, 512, 14, 14)
Convolution          conv5_2                            (512, 512, 3, 3)     (1, 512, 14, 14)
Convolution          conv5_3                            (512, 512, 3, 3)     (1, 512, 14, 14)
Pooling              pool5                                            --       (1, 512, 7, 7)
InnerProduct         fc6                                   (4096, 25088)      (1, 4096, 1, 1)
InnerProduct         fc7                                    (4096, 4096)      (1, 4096, 1, 1)
InnerProduct         fc8-101                                 (101, 4096)       (1, 101, 1, 1)
Softmax              prob                                             --       (1, 101, 1, 1)
